product_name,product_price
"Samsung Galaxy A51 6.5-Inch (4GB,128GB ROM) Android10.0, (48MP +12MP + 5MP + 5MP) + 32MP Dual SIM - Prism Crush Black","₦ 132,990"
"Samsung Galaxy A10s 6.2-Inch (2GB,32GB ROM) Android 9.0, (13MP+2MP)+ 8MP Dual SIM 4000mAh 4G LTE Smartphone - Black (BF19)","₦ 52,000"
"Samsung Galaxy M11 6.4-Inch (3GB, 32GB ROM) Android 10, (13MP+5MP+2MP) + 8MP Dual SIM 5,000 MAh 4G - Black (PRE-ORDER)","₦ 62,200"
"Samsung Galaxy A20s 6.5-Inch (3GB,32GB ROM) Android 9 Pie, (13MP+8MP+ 5MP)+ 25MP 4000mAh  Smartphone - Black","₦ 73,000"
Samsung Galaxy S20 Ultra 6.9-Inch (12GB 128GB ROM) Android 10.0 (108MP + 48MP + 12MP + 0.3MP)+(40MP) Dual SIM 4G - Cosmic Black,"₦ 530,000"
"Samsung S20 ULTRA 6.9 INCH  ( 12GB RAM, 128GB ROM)  - COSMIC BLACK","₦ 519,999"
Samsung Galaxy S7 Edge 5.5'' QHD(4GB+32GB) 12MP+5MP 4G Smartphone-Silver,"₦ 68,500"
Samsung Galaxy S20 Ultra 6.9-Inch (12GB 128GB ROM) Android 10.0 (108MP + 48MP + 12MP + 0.3MP)+(40MP) Dual SIM 4G - Cosmic Black,"₦ 530,000"
"Samsung Galaxy S10 6.1-Inch AMOLED (6GB, 128GB ROM) Android 9.0 Pie, 12MP + 12MP + 16MP Dual SIM 4G Smartphone - Black","₦ 380,000"
"Samsung Galaxy Fold, 7.3-Inch (12GB RAM, 512GB ROM), (12MP + 12MP + 16MP) + (10MP + 8MP) Nano SIM - Cosmos Black","₦ 750,000"
"Samsung Galaxy Note 10 Plus (Note 10+) 6.8-Inch (12GB RAM, 256GB ROM), (12MP + 16MP) Dual SIM 4,300 MAh Smartphone - Aura Glow","₦ 469,999"
"Samsung Galaxy A71 6GB RAM 128GB ROM 6.7"" 4500mAh Dual Sim With 24 MONTH WARRANTY - Prism Crush Silver","₦ 179,990"
Samsung Galaxy S20 6.2-Inch (8GB 128GB ROM) Android 10.0 (12MP + 64MP + 12MP)+(10MP) Dual SIM 4G - Cloud Blue,"₦ 420,000"
Samsung Galaxy S20 Ultra 6.9-Inch (12GB 128GB ROM) Android 10.0 (108MP + 48MP + 12MP + 0.3MP)+(40MP) Dual SIM 4G - Cosmic Grey,"₦ 530,000"
Samsung Galaxy S20 Ultra 6.9-Inch (12GB 128GB ROM) Android 10.0 (108MP + 48MP + 12MP + 0.3MP)+(40MP) Dual SIM 4G - Cosmic Black,"₦ 520,000"
